Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW],Scenario,Market
10_STEAM,2020-07-10,13,0,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,1,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,2,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,3,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,4,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,5,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,6,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,7,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,8,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,9,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,10,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,11,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,12,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,13,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,14,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,15,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,16,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,17,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,18,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,19,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,20,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,21,30.0,1,0,0,905.0,0.0,905.0,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,22,30.0,1,0,0,905.0,0.0,905.0,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,23,30.0,1,0,0,905.0,0.0,905.0,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,24,30.0,1,0,0,905.0,0.0,905.0,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,25,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,26,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,27,76.0,1,0,0,1669.71,0.0,1669.71,46.0,0,Day-ahead
10_STEAM,2020-07-10,13,28,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,29,76.0,1,0,0,1669.71,0.0,1669.71,0.0,0,Day-ahead
10_STEAM,2020-07-10,13,30,30.0,1,0,0,905.0,0.0,905.0,46.0,0,Day-ahead
